State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,77.9%,154.38
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,81.1%,129.16
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,74.3%,113.71
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,72.0%,114.88
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,75.4%,137.15
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,70.1%,137.72
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,74.4%,145.80
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,74.8%,138.22
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,74.3%,139.65
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,67.1%,155.69
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,79.0%,116.33
Qld,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,81.9%,141.83
SA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,73.0%,154.05
SA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,74.0%,156.55
SA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,70.4%,149.16
WA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,73.3%,105.55
WA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,70.4%,102.44
WA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,75.0%,98.67
WA,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,76.6%,131.56
Tas,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,68.0%,147.21
Tas,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,68.0%,147.21
NT,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,84.7%,161.67
NT,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,84.7%,161.67
ACT,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,50.8%,160.14
ACT,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,50.8%,160.14
Unk,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,95.0%,98.21
Unk,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,95.0%,98.21
Australia,2024-25 Q4 (Jun Qtr),Total Operations,33.3%,122.43
NSW,2024-25 Q4 (Jun Qtr),Total Operations,36.8%,133.98
NSW,2024-25 Q4 (Jun Qtr),Total Operations,28.5%,155.82
NSW,2024-25 Q4 (Jun Qtr),Total Operations,23.6%,143.97
NSW,2024-25 Q4 (Jun Qtr),Total Operations,41.4%,141.28
NSW,2024-25 Q4 (Jun Qtr),Total Operations,45.9%,146.08
NSW,2024-25 Q4 (Jun Qtr),Total Operations,46.7%,160.83
NSW,2024-25 Q4 (Jun Qtr),Total Operations,33.6%,119.01
NSW,2024-25 Q4 (Jun Qtr),Total Operations,42.8%,156.16
NSW,2024-25 Q4 (Jun Qtr),Total Operations,38.8%,117.99
NSW,2024-25 Q4 (Jun Qtr),Total Operations,49.7%,106.51
NSW,2024-25 Q4 (Jun Qtr),Total Operations,32.9%,92.52
Vic,2024-25 Q4 (Jun Qtr),Total Operations,25.4%,130.43
Vic,2024-25 Q4 (Jun Qtr),Total Operations,27.8%,151.19
Vic,2024-25 Q4 (Jun Qtr),Total Operations,21.2%,136.69
Vic,2024-25 Q4 (Jun Qtr),Total Operations,26.3%,142.45
Vic,2024-25 Q4 (Jun Qtr),Total Operations,34.5%,119.01
Vic,2024-25 Q4 (Jun Qtr),Total Operations,25.8%,96.64
Vic,2024-25 Q4 (Jun Qtr),Total Operations,23.2%,105.45
Qld,2024-25 Q4 (Jun Qtr),Total Operations,40.9%,113.85
Qld,2024-25 Q4 (Jun Qtr),Total Operations,38.6%,103.74
Qld,2024-25 Q4 (Jun Qtr),Total Operations,37.9%,119.87
Qld,2024-25 Q4 (Jun Qtr),Total Operations,43.7%,119.79
Qld,2024-25 Q4 (Jun Qtr),Total Operations,41.8%,117.64
Qld,2024-25 Q4 (Jun Qtr),Total Operations,42.5%,109.53
Qld,2024-25 Q4 (Jun Qtr),Total Operations,41.3%,110.46
Qld,2024-25 Q4 (Jun Qtr),Total Operations,45.8%,120.08
SA,2024-25 Q4 (Jun Qtr),Total Operations,29.5%,99.19
SA,2024-25 Q4 (Jun Qtr),Total Operations,27.4%,103.06
SA,2024-25 Q4 (Jun Qtr),Total Operations,34.4%,91.16
WA,2024-25 Q4 (Jun Qtr),Total Operations,27.4%,101.86
WA,2024-25 Q4 (Jun Qtr),Total Operations,26.3%,107.29
WA,2024-25 Q4 (Jun Qtr),Total Operations,28.1%,104.74
WA,2024-25 Q4 (Jun Qtr),Total Operations,28.7%,84.46
Tas,2024-25 Q4 (Jun Qtr),Total Operations,19.3%,83.46
Tas,2024-25 Q4 (Jun Qtr),Total Operations,19.3%,83.46
NT,2024-25 Q4 (Jun Qtr),Total Operations,35.4%,130.20
NT,2024-25 Q4 (Jun Qtr),Total Operations,35.4%,130.20
ACT,2024-25 Q4 (Jun Qtr),Total Operations,15.0%,183.95
ACT,2024-25 Q4 (Jun Qtr),Total Operations,15.0%,183.95
Unk,2024-25 Q4 (Jun Qtr),Total Operations,64.5%,145.37
Unk,2024-25 Q4 (Jun Qtr),Total Operations,64.5%,145.37
Australia,2024-25 Q4 (Jun Qtr),Optometry,94.1%,41.32
NSW,2024-25 Q4 (Jun Qtr),Optometry,95.4%,38.09
NSW,2024-25 Q4 (Jun Qtr),Optometry,95.5%,40.86
NSW,2024-25 Q4 (Jun Qtr),Optometry,93.4%,38.28
NSW,2024-25 Q4 (Jun Qtr),Optometry,97.9%,50.88
NSW,2024-25 Q4 (Jun Qtr),Optometry,94.2%,36.61
NSW,2024-25 Q4 (Jun Qtr),Optometry,98.0%,44.65
NSW,2024-25 Q4 (Jun Qtr),Optometry,95.9%,35.51
NSW,2024-25 Q4 (Jun Qtr),Optometry,97.3%,35.18
NSW,2024-25 Q4 (Jun Qtr),Optometry,95.6%,36.26
NSW,2024-25 Q4 (Jun Qtr),Optometry,88.7%,35.00
NSW,2024-25 Q4 (Jun Qtr),Optometry,94.7%,25.48
Vic,2024-25 Q4 (Jun Qtr),Optometry,93.4%,39.53
Vic,2024-25 Q4 (Jun Qtr),Optometry,94.4%,40.65
Vic,2024-25 Q4 (Jun Qtr),Optometry,93.2%,42.15
Vic,2024-25 Q4 (Jun Qtr),Optometry,92.2%,40.27
Vic,2024-25 Q4 (Jun Qtr),Optometry,87.0%,30.95
Vic,2024-25 Q4 (Jun Qtr),Optometry,93.6%,38.50
Vic,2024-25 Q4 (Jun Qtr),Optometry,96.9%,39.60
Qld,2024-25 Q4 (Jun Qtr),Optometry,93.3%,42.23
Qld,2024-25 Q4 (Jun Qtr),Optometry,92.6%,35.67
Qld,2024-25 Q4 (Jun Qtr),Optometry,94.8%,41.90
Qld,2024-25 Q4 (Jun Qtr),Optometry,96.7%,43.96
Qld,2024-25 Q4 (Jun Qtr),Optometry,88.7%,53.08
Qld,2024-25 Q4 (Jun Qtr),Optometry,96.2%,45.52
Qld,2024-25 Q4 (Jun Qtr),Optometry,92.2%,31.63
Qld,2024-25 Q4 (Jun Qtr),Optometry,94.0%,56.67
SA,2024-25 Q4 (Jun Qtr),Optometry,95.4%,42.38
SA,2024-25 Q4 (Jun Qtr),Optometry,95.8%,42.65
SA,2024-25 Q4 (Jun Qtr),Optometry,94.5%,41.93
WA,2024-25 Q4 (Jun Qtr),Optometry,93.4%,50.03
WA,2024-25 Q4 (Jun Qtr),Optometry,92.6%,51.23
WA,2024-25 Q4 (Jun Qtr),Optometry,95.3%,50.01
WA,2024-25 Q4 (Jun Qtr),Optometry,91.4%,47.51
Tas,2024-25 Q4 (Jun Qtr),Optometry,93.7%,29.91
Tas,2024-25 Q4 (Jun Qtr),Optometry,93.7%,29.91
NT,2024-25 Q4 (Jun Qtr),Optometry,97.9%,44.06
NT,2024-25 Q4 (Jun Qtr),Optometry,97.9%,44.06
ACT,2024-25 Q4 (Jun Qtr),Optometry,87.1%,51.55
ACT,2024-25 Q4 (Jun Qtr),Optometry,87.1%,51.55
Unk,2024-25 Q4 (Jun Qtr),Optometry,98.6%,95.50
Unk,2024-25 Q4 (Jun Qtr),Optometry,98.6%,95.50
Australia,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,71.8%,146.62
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,76.2%,146.36
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,71.2%,148.08
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,49.2%,161.40
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75.6%,152.98
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,77.9%,149.14
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80.7%,127.46
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.9%,193.95
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.6%,178.81
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,71.0%,128.05
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,90.9%,151.52
NSW,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,94.1%,154.42
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75.4%,147.52
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,77.8%,157.08
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,68.3%,130.10
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.4%,139.23
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,85.2%,167.77
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,85.9%,200.49
Vic,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,89.9%,159.29
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,64.6%,151.52
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,55.7%,174.63
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,65.3%,169.36
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,66.3%,211.22
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,41.9%,111.30
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,51.3%,90.88
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,71.2%,113.84
Qld,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,81.1%,163.48
SA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,53.2%,112.29
SA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,53.3%,114.59
SA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,53.0%,107.37
WA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,77.1%,173.30
WA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,61.9%,150.76
WA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,84.0%,209.26
WA,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.8%,237.78
Tas,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,74.3%,139.76
Tas,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,74.3%,139.76
NT,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,94.8%,116.86
NT,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,94.8%,116.86
ACT,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,76.3%,185.71
ACT,2024-25 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,76.3%,185.71
Australia,2024-25 Q4 (Jun Qtr),Other MBS Services,61.2%,141.11
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,62.4%,154.02
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,61.4%,206.89
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,47.8%,162.81
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,67.1%,194.68
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,70.4%,159.02
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,70.2%,143.68
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,63.0%,117.12
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,65.6%,126.37
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,63.0%,134.82
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,61.9%,95.79
NSW,2024-25 Q4 (Jun Qtr),Other MBS Services,60.7%,118.21
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,65.2%,166.53
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,70.7%,227.87
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,60.2%,168.79
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,63.4%,165.00
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,74.1%,122.60
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,66.4%,110.74
Vic,2024-25 Q4 (Jun Qtr),Other MBS Services,62.1%,124.32
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,59.0%,124.87
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,54.1%,128.03
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,60.1%,141.15
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,59.7%,132.09
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,58.6%,105.54
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,63.6%,143.23
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,61.6%,110.78
Qld,2024-25 Q4 (Jun Qtr),Other MBS Services,60.7%,121.78
SA,2024-25 Q4 (Jun Qtr),Other MBS Services,54.0%,112.35
SA,2024-25 Q4 (Jun Qtr),Other MBS Services,53.0%,118.24
SA,2024-25 Q4 (Jun Qtr),Other MBS Services,56.5%,98.35
WA,2024-25 Q4 (Jun Qtr),Other MBS Services,58.9%,114.74
WA,2024-25 Q4 (Jun Qtr),Other MBS Services,55.9%,114.20
WA,2024-25 Q4 (Jun Qtr),Other MBS Services,60.2%,117.35
WA,2024-25 Q4 (Jun Qtr),Other MBS Services,64.1%,110.29
Tas,2024-25 Q4 (Jun Qtr),Other MBS Services,56.9%,99.75
Tas,2024-25 Q4 (Jun Qtr),Other MBS Services,56.9%,99.75
NT,2024-25 Q4 (Jun Qtr),Other MBS Services,81.0%,213.52
NT,2024-25 Q4 (Jun Qtr),Other MBS Services,81.0%,213.52
ACT,2024-25 Q4 (Jun Qtr),Other MBS Services,51.5%,159.74
ACT,2024-25 Q4 (Jun Qtr),Other MBS Services,51.5%,159.74
Unk,2024-25 Q4 (Jun Qtr),Other MBS Services,91.7%,34.74
Unk,2024-25 Q4 (Jun Qtr),Other MBS Services,91.7%,34.74
Australia,2024-25 Q3 (Mar Qtr),Total Medicare,75.3%,91.09
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,76.9%,99.39
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,73.5%,112.53
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,66.5%,110.13
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,84.8%,109.89
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,82.9%,100.40
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,86.7%,107.59
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,75.7%,87.16
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,79.6%,91.34
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,72.9%,84.89
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,75.5%,80.84
NSW,2024-25 Q3 (Mar Qtr),Total Medicare,76.8%,88.53
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,75.8%,89.72
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,79.8%,93.02
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,72.2%,90.45
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,74.3%,96.02
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,80.2%,80.91
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,76.1%,77.20
Vic,2024-25 Q3 (Mar Qtr),Total Medicare,75.0%,80.07
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,75.0%,88.88
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,70.5%,90.61
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,74.8%,92.20
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,76.0%,92.47
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,77.5%,87.96
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,80.0%,87.92
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,74.8%,83.53
Qld,2024-25 Q3 (Mar Qtr),Total Medicare,78.9%,83.87
SA,2024-25 Q3 (Mar Qtr),Total Medicare,73.3%,79.09
SA,2024-25 Q3 (Mar Qtr),Total Medicare,72.4%,79.56
SA,2024-25 Q3 (Mar Qtr),Total Medicare,75.7%,77.78
WA,2024-25 Q3 (Mar Qtr),Total Medicare,72.0%,83.79
WA,2024-25 Q3 (Mar Qtr),Total Medicare,69.6%,86.22
WA,2024-25 Q3 (Mar Qtr),Total Medicare,72.7%,81.63
WA,2024-25 Q3 (Mar Qtr),Total Medicare,76.3%,81.74
Tas,2024-25 Q3 (Mar Qtr),Total Medicare,73.4%,81.31
Tas,2024-25 Q3 (Mar Qtr),Total Medicare,73.4%,81.31
NT,2024-25 Q3 (Mar Qtr),Total Medicare,83.5%,79.89
NT,2024-25 Q3 (Mar Qtr),Total Medicare,83.5%,79.89
ACT,2024-25 Q3 (Mar Qtr),Total Medicare,65.5%,103.11
ACT,2024-25 Q3 (Mar Qtr),Total Medicare,65.5%,103.11
Unk,2024-25 Q3 (Mar Qtr),Total Medicare,95.8%,104.00
Unk,2024-25 Q3 (Mar Qtr),Total Medicare,95.8%,104.00
Australia,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,77.3%,52.41
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,81.6%,51.99
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,76.6%,55.48
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,70.5%,56.16
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,92.5%,42.69
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,90.0%,45.89
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,93.4%,40.73
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,77.3%,50.62
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,81.4%,50.57
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,73.1%,52.62
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,80.0%,51.54
NSW,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,80.9%,50.54
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,78.3%,52.24
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,81.0%,50.64
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,75.1%,49.89
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,77.9%,57.37
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,83.7%,53.59
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,76.5%,50.92
Vic,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,77.0%,50.37
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,75.5%,53.46
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,67.8%,53.97
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,75.6%,51.58
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,80.1%,54.17
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,80.5%,51.30
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,78.2%,53.19
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,74.9%,55.36
Qld,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,78.1%,54.20
SA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,74.4%,47.01
SA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,73.2%,46.23
SA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,77.5%,49.44
WA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,69.4%,51.29
WA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,65.4%,52.44
WA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,70.7%,48.87
WA,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,75.2%,53.91
Tas,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,72.3%,61.18
Tas,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,72.3%,61.18
NT,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,76.1%,49.87
NT,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,76.1%,49.87
ACT,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,52.7%,62.39
ACT,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,52.7%,62.39
Unk,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,98.3%,64.83
Unk,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,98.3%,64.83
Australia,2024-25 Q3 (Mar Qtr),Practice Nurse,98.1%,36.41
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,98.5%,33.13
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.5%,28.59
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,97.4%,31.01
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.5%,34.76
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.4%,22.99
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.2%,5.05
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,98.3%,37.07
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.0%,51.22
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,97.6%,36.77
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,98.2%,30.02
NSW,2024-25 Q3 (Mar Qtr),Practice Nurse,99.4%,25.81
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,97.8%,40.15
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,99.5%,21.52
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,99.1%,25.81
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,98.8%,32.11
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,95.7%,39.67
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,91.3%,49.43
Vic,2024-25 Q3 (Mar Qtr),Practice Nurse,97.3%,34.73
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,97.2%,40.73
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,98.0%,42.90
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,97.5%,42.69
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,98.9%,23.13
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,99.1%,42.46
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,99.1%,32.67
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,96.8%,37.32
Qld,2024-25 Q3 (Mar Qtr),Practice Nurse,93.4%,43.40
SA,2024-25 Q3 (Mar Qtr),Practice Nurse,98.9%,4.75
SA,2024-25 Q3 (Mar Qtr),Practice Nurse,98.7%,3.53
SA,2024-25 Q3 (Mar Qtr),Practice Nurse,99.3%,8.78
WA,2024-25 Q3 (Mar Qtr),Practice Nurse,98.4%,33.36
WA,2024-25 Q3 (Mar Qtr),Practice Nurse,99.0%,21.18
WA,2024-25 Q3 (Mar Qtr),Practice Nurse,97.0%,36.86
WA,2024-25 Q3 (Mar Qtr),Practice Nurse,99.7%,29.54
Tas,2024-25 Q3 (Mar Qtr),Practice Nurse,97.0%,38.12
Tas,2024-25 Q3 (Mar Qtr),Practice Nurse,97.0%,38.12
NT,2024-25 Q3 (Mar Qtr),Practice Nurse,100.0%,54.42
NT,2024-25 Q3 (Mar Qtr),Practice Nurse,100.0%,54.42
ACT,2024-25 Q3 (Mar Qtr),Practice Nurse,98.4%,23.45
ACT,2024-25 Q3 (Mar Qtr),Practice Nurse,98.4%,23.45
Unk,2024-25 Q3 (Mar Qtr),Practice Nurse,98.1%,50.18
Unk,2024-25 Q3 (Mar Qtr),Practice Nurse,98.1%,50.18
Australia,2024-25 Q3 (Mar Qtr),Other Allied Health,41.0%,78.20
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,41.7%,78.33
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,37.9%,95.31
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,25.7%,97.01
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,59.3%,77.56
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,47.5%,74.11
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,62.4%,68.05
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,29.3%,67.72
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,48.1%,76.51
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,34.6%,68.05
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,35.3%,58.00
NSW,2024-25 Q3 (Mar Qtr),Other Allied Health,43.7%,61.17
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,38.8%,76.82
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,46.0%,84.12
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,35.6%,78.64
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,37.4%,81.80
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,41.6%,57.23
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,32.8%,55.59
Vic,2024-25 Q3 (Mar Qtr),Other Allied Health,31.9%,67.58
Qld,2024-25 Q3 (Mar Qtr),Other Allied Health,44.5%,80.68
